DATE,AWND,PRCP,TMAX,TMIN,RH_pct,AWND_filled,RH_pct_filled
2000-01-01,7.61,0.32,90.0,77.0,81.6086956521739,7.61,81.6086956521739
2000-01-02,7.61,0.0,92.0,79.0,75.20833333333333,7.61,75.20833333333333
2000-01-03,5.59,0.25,91.0,77.0,80.58333333333333,5.59,80.58333333333333
2000-01-04,6.71,0.0,93.0,78.0,74.3913043478261,6.71,74.3913043478261
2000-01-05,5.59,0.0,93.0,80.0,74.54166666666667,5.59,74.54166666666667
2000-01-06,6.04,0.12,91.0,78.0,77.25,6.04,77.25
2000-01-07,5.59,0.97,84.0,76.0,90.28,5.59,90.28
2000-01-08,6.04,0.0,91.0,76.0,79.29166666666667,6.04,79.29166666666667
2000-01-09,6.71,0.48,92.0,78.0,79.66666666666667,6.71,79.66666666666667
2000-01-10,9.4,0.0,91.0,77.0,72.22727272727273,9.4,72.22727272727273
2000-01-11,10.07,0.57,89.0,76.0,83.54166666666667,10.07,83.54166666666667
2000-01-12,8.95,0.0,89.0,76.0,77.95833333333333,8.95,77.95833333333333
2000-01-13,11.18,0.0,91.0,80.0,77.08695652173913,11.18,77.08695652173913
2000-01-14,5.59,0.05,93.0,78.0,81.125,5.59,81.125
2000-01-15,6.04,0.0,91.0,77.0,79.83333333333333,6.04,79.83333333333333
2000-01-16,5.37,0.0,91.0,78.0,76.58333333333333,5.37,76.58333333333333
2000-01-17,6.71,1.68,89.0,78.0,87.6086956521739,6.71,87.6086956521739
2000-01-18,7.38,0.18,92.0,80.0,81.29166666666667,7.38,81.29166666666667
2000-01-19,14.09,0.87,88.0,78.0,82.6086956521739,14.09,82.6086956521739
2000-01-20,20.58,2.3,86.0,78.0,84.0,20.58,84.0
2000-01-21,13.42,2.05,87.0,78.0,83.54166666666667,13.42,83.54166666666667
2000-01-22,9.84,2.06,83.0,77.0,84.70833333333333,9.84,84.70833333333333
2000-01-23,7.38,0.0,91.0,76.0,75.3913043478261,7.38,75.3913043478261
2000-01-24,10.07,0.0,92.0,79.0,67.20833333333333,10.07,67.20833333333333
2000-01-25,6.71,0.03,89.0,79.0,80.91666666666667,6.71,80.91666666666667
2000-01-26,8.05,0.45,92.0,77.0,74.0,8.05,74.0
2000-01-27,8.5,0.04,89.0,77.0,81.3913043478261,8.5,81.3913043478261
